,Bird Species,Count,Location,Time Period
132,Black-naped oriole,0,Collared Kingfisher---Between Yale-NUS Saga College and SRC,0802
133,Rock pigeon,0,Collared Kingfisher---Between Yale-NUS Saga College and SRC,0802
134,Yellow-vented bulbul,3,Collared Kingfisher---Between Yale-NUS Saga College and SRC,0802
135,Javan myna,4,Collared Kingfisher---sheltered walkway between ERC and SRC,0814
136,Olive-backed sunbird,0,Collared Kingfisher---sheltered walkway between ERC and SRC,0814
137,Black-naped oriole,0,Collared Kingfisher---sheltered walkway between ERC and SRC,0814
138,Rock pigeon,0,Collared Kingfisher---sheltered walkway between ERC and SRC,0814
139,Yellow-vented bulbul,7,Collared Kingfisher---sheltered walkway between ERC and SRC,0814
140,Javan myna,3,"Collared Kingfisher---UT Town Green, Tree cluster beside NTUC",0828
141,Olive-backed sunbird,1,"Collared Kingfisher---UT Town Green, Tree cluster beside NTUC",0828
142,Black-naped oriole,0,"Collared Kingfisher---UT Town Green, Tree cluster beside NTUC",0828
143,Rock pigeon,0,"Collared Kingfisher---UT Town Green, Tree cluster beside NTUC",0828
144,Yellow-vented bulbul,6,"Collared Kingfisher---UT Town Green, Tree cluster beside NTUC",0828
145,Javan myna,6,Collared Kingfisher---Between the back of CREATE and UTResidences,0847
146,Olive-backed sunbird,0,Collared Kingfisher---Between the back of CREATE and UTResidences,0847
147,Black-naped oriole,0,Collared Kingfisher---Between the back of CREATE and UTResidences,0847
148,Rock pigeon,0,Collared Kingfisher---Between the back of CREATE and UTResidences,0847
149,Yellow-vented bulbul,1,Collared Kingfisher---Between the back of CREATE and UTResidences,0847
150,Javan myna,0,"Banded Woodpecker ---Science Field,10m S of staircase near bus stop",0930
151,Olive-backed sunbird,1,"Banded Woodpecker ---Science Field,10m S of staircase near bus stop",0930
152,Black-naped oriole,0,"Banded Woodpecker ---Science Field,10m S of staircase near bus stop",0930
153,Rock pigeon,2,"Banded Woodpecker ---Science Field,10m S of staircase near bus stop",0930
154,Yellow-vented bulbul,0,"Banded Woodpecker ---Science Field,10m S of staircase near bus stop",0930
155,Javan myna,0,"Banded Woodpecker ---Science Field, next to sheltered pathway",0946
156,Olive-backed sunbird,2,"Banded Woodpecker ---Science Field, next to sheltered pathway",0946
157,Black-naped oriole,0,"Banded Woodpecker ---Science Field, next to sheltered pathway",0946
158,Rock pigeon,0,"Banded Woodpecker ---Science Field, next to sheltered pathway",0946
159,Yellow-vented bulbul,0,"Banded Woodpecker ---Science Field, next to sheltered pathway",0946
160,Javan myna,0,"Banded Woodpecker ---Prince George's Park, next to main road",1019
161,Olive-backed sunbird,2,"Banded Woodpecker ---Prince George's Park, next to main road",1019
162,Black-naped oriole,1,"Banded Woodpecker ---Prince George's Park, next to main road",1019
163,Rock pigeon,4,"Banded Woodpecker ---Prince George's Park, next to main road",1019
164,Yellow-vented bulbul,0,"Banded Woodpecker ---Prince George's Park, next to main road",1019
165,Javan myna,1,"Banded Woodpecker ---Prince George's Park, B1, next to carpark",1044
